employee_id,sector,Gender,Age,role,Hire_Date,Years_At_Company,Education_Level,quality_score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,development_score,Promotions,Employee_Satisfaction_Score,Resigned,date,output_score,performance_status,performance_drivers,employee_explanation,strengths
75722,Sales,Other,31,Manager,2024-03-23 08:03:05.556036,0,Master,2,7200.0,60,18,24,8,75,5,9,0,4.59,False,2024-12-31,15.306122448979592,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.'], 'strengths': ['Maintaining baseline performance']}",['Maintaining baseline performance']
80185,Sales,Male,50,Engineer,2024-09-02 08:03:05.556036,0,High School,4,8400.0,44,19,5,12,0,13,90,1,4.83,False,2024-12-31,25.0164581961817,Needs Improvement,"['Lower productivity relative to workload', 'High number of sick days affecting consistency']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'High number of sick days affecting consistency'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Discuss workload balance or wellbeing support with your manager to improve consistency.'], 'strengths': ['Strong quality of work']}",['Strong quality of work']
19865,Sales,Female,29,Manager,2015-09-28 08:03:05.556036,8,High School,3,7800.0,33,18,19,5,75,16,53,0,2.23,True,2024-12-31,25.930372148859544,Needs Improvement,['Lower productivity relative to workload'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.'], 'strengths': ['Good attendance consistency']}",['Good attendance consistency']
76700,Marketing,Female,24,Analyst,2022-08-13 08:03:05.556036,2,Master,1,4400.0,33,35,26,0,0,18,68,0,4.88,True,2024-12-31,46.58385093167702,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.'], 'strengths': ['Good attendance consistency']}",['Good attendance consistency']
92992,Operations,Male,40,Technician,2015-02-10 08:03:05.556036,9,Bachelor,4,4900.0,37,1,21,7,0,1,88,1,3.68,False,2024-12-31,1.2889366272824918,Needs Improvement,['Lower productivity relative to workload'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.'], 'strengths': ['Strong quality of work']}",['Strong quality of work']
76435,Sales,Female,34,Specialist,2023-11-29 08:03:05.556036,0,Bachelor,3,5850.0,51,6,3,14,50,4,23,0,4.46,False,2024-12-31,6.997084548104956,Needs Improvement,"['Lower productivity relative to workload', 'High number of sick days affecting consistency']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'High number of sick days affecting consistency'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Discuss workload balance or wellbeing support with your manager to improve consistency.'], 'strengths': ['Maintaining baseline performance']}",['Maintaining baseline performance']
84005,Customer Support,Male,28,Developer,2016-07-07 08:03:05.556036,8,Bachelor,5,7500.0,47,48,14,6,75,17,61,0,4.66,False,2024-12-31,54.42176870748299,On Track,['No major performance risk factors identified'],"{'status': 'On Track', 'summary': ""Your performance for the selected period is classified as 'On Track'."", 'drivers': ['No major performance risk factors identified'], 'recommended_actions': ['Maintain current working practices and continue consistent performance.'], 'strengths': ['Good productivity level', 'Strong quality of work']}","['Good productivity level', 'Strong quality of work']"
80918,Legal,Male,46,Specialist,2022-07-21 08:03:05.556036,2,High School,3,5850.0,55,49,0,14,100,11,44,2,1.58,False,2024-12-31,54.54545454545454,Needs Improvement,['High number of sick days affecting consistency'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['High number of sick days affecting consistency'], 'recommended_actions': ['Discuss workload balance or wellbeing support with your manager to improve consistency.'], 'strengths': ['Good productivity level']}",['Good productivity level']
60768,Finance,Female,27,Developer,2023-02-16 08:03:05.556036,1,Bachelor,4,7000.0,40,15,7,8,50,3,47,0,4.39,True,2024-12-31,21.1118930330753,Needs Improvement,['Lower productivity relative to workload'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.'], 'strengths': ['Strong quality of work']}",['Strong quality of work']
50075,IT,Male,47,Technician,2016-03-29 08:03:05.556036,8,Bachelor,2,4200.0,55,3,9,12,100,13,18,0,3.09,True,2024-12-31,3.0869490653404217,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level', 'High number of sick days affecting consistency']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level', 'High number of sick days affecting consistency'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.', 'Discuss workload balance or wellbeing support with your manager to improve consistency.'], 'strengths': ['Maintaining baseline performance']}",['Maintaining baseline performance']
27702,Sales,Female,43,Developer,2020-07-18 08:03:05.556036,4,High School,1,5500.0,56,3,19,2,25,7,64,0,2.61,False,2024-12-31,2.8041751051565664,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.'], 'strengths': ['Good attendance consistency']}",['Good attendance consistency']
42142,IT,Female,51,Technician,2020-05-23 08:03:05.556036,4,Bachelor,1,3850.0,36,7,22,9,75,5,4,1,3.72,False,2024-12-31,9.11854103343465,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level', 'Limited recent training or development activity']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level', 'Limited recent training or development activity'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.', 'Consider completing relevant training to strengthen skills and performance.'], 'strengths': ['Maintaining baseline performance']}",['Maintaining baseline performance']
45081,HR,Male,43,Manager,2017-10-05 08:03:05.556036,6,Bachelor,5,9000.0,38,45,1,10,50,4,96,2,1.16,False,2024-12-31,71.56109196925523,On Track,['No major performance risk factors identified'],"{'status': 'On Track', 'summary': ""Your performance for the selected period is classified as 'On Track'."", 'drivers': ['No major performance risk factors identified'], 'recommended_actions': ['Maintain current working practices and continue consistent performance.'], 'strengths': ['Good productivity level', 'Strong quality of work']}","['Good productivity level', 'Strong quality of work']"
16639,IT,Female,51,Manager,2022-01-15 08:03:05.556036,2,Bachelor,2,7200.0,37,17,29,6,75,4,75,2,4.15,False,2024-12-31,20.210025757875968,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.'], 'strengths': ['Maintaining baseline performance']}",['Maintaining baseline performance']
